study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	pmid_str	paper_title	first_author	last_author	host_class	abstract	pub_year	journal
PRJNA498084	Samo salar			Chile: Santiago	11	AMPLICON	pubmed	41700855.0	41700855	Genotypic characterization of gut isolates from Atlantic salmon fry reveals beneficial microbes with biotechnological potential.	Rojas Calderón D	La Rosa SL	Actinopterygii	Aquaculture is a rapidly growing industry, with Atlantic salmon being one of the most intensively farmed food-producing fish in the world. While the gut microbiota is recognized to play an important role in the health and performance of various fish, knowledge of its functional capacities in salmon is gradually expanding, facilitating a better understanding of host-microbiome interactions. Nevertheless, data on the gut microbiota of juvenile salmon remain limited. Here, we isolated and genotypically characterized 11 bacteria obtained from the gut content of Atlantic salmon fry. Whole-genome sequencing using long-read Nanopore technology and functional annotation revealed their extensive metabolic versatility, including a broad array of carbohydrate-active enzymes, proteases, lipases, and (poly)phenol-degrading enzymes potentially contributing to the metabolism of feed-derived components. Additionally, all isolates possessed genomic potential for producing beneficial metabolites, including the short-chain fatty acids acetate and propionate, as well as several B vitamins and vitamin K2. Genes encoding bacteriocins and other secondary metabolites were identified, suggesting niche competitiveness against intestinal pathogens. Among the isolates, we further show that Lactococcus raffinolactis ASF-5 has the potential to selectively remove indigestible oligosaccharides from plant-based feeds. Indeed, this isolate grew on raffinose, an oligosaccharide associated with anti-nutritional effects in salmon. Using AlphaFold 3 models, we show that this capability is supported by a GH36 α-galactosidase and two GH32 sucrases, which can act cooperatively in the complete hydrolysis of raffinose. Finally, L. raffinolactis ASF-5 had a favorable safety profile for use as a feed supplement, showing susceptibility to all tested antibiotics and lacking hemolytic activity.IMPORTANCEAlthough metataxonomy studies have enhanced our knowledge of the salmon gut microbiota, the functional potential of bacteria from this ecosystem remains underexplored. Well-characterized bacterial isolates are crucial to advance the growing salmon aquaculture field, allowing insights into nutrient metabolism, informing the development of beneficial interventions, and helping in identifying enzymes to improve feed digestibility. This study highlights the functional capacity of 11 bacteria isolated from the gut of salmon fry in contributing to the metabolism of carbohydrates, proteins, lipids, fatty acids, and (poly)phenols from feed, potentially increasing nutrient availability for the host or providing beneficial metabolites, including short-chain fatty acids, vitamins, and bacteriocins. Importantly, Lactococcus raffinolactis ASF-5 could be used to remove indigestible sugars like raffinose from plant meals. Identifying such beneficial, host-specific bacteria opens new opportunities for developing customized feed supplements or enzymes that enhance feed digestibility, to promote the health and welfare of Atlantic salmon, and enhance the economic sustainability of aquaculture.		Applied and environmental microbiology
PRJEB42270	feces metagenome			Spain	2	OTHER	pubmed	33957869.0	33957869							
PRJNA511412	Bos taurus	9913.0		Netherlands	379	AMPLICON	pubmed	30660184.0	30660184							
PRJNA472376	Bos taurus	9913.0		USA:Colorado	28	AMPLICON	pubmed	30796295.0	30796295	Effects of a Saccharomyces cerevisiae fermentation product on liver abscesses, fecal microbiome, and resistome in feedlot cattle raised without antibiotics.	Huebner KL	Belk KE	Mammalia	Liver abscesses in feedlot cattle form secondary to high concentrate feeds and rumen acidosis. Antimicrobial drugs are commonly included in cattle feed for prevention of liver abscesses, but concerns regarding antimicrobial resistance have increased the need for alternative treatments. A block randomized clinical trial was conducted to evaluate the effects of a Saccharomyces cerevisiae fermentation product (SCFP) on liver abscesses, fecal microbiomes, and resistomes in cattle raised without antibiotics in a Colorado feedlot. At enrollment, steers (n = 4,689) were sorted, by weight and source, into 2 pens comprising a block (n = 14 blocks, 28 pens); pens were randomly allocated to either the control group or the treatment group, where the diet was supplemented with SCFP. Prior to harvest, composited feces were collected for characterization of the microbiome and resistome using 16S rRNA gene and shotgun sequencing. At harvest, liver abscess severity was quantified for individual cattle. There were no statistical differences detected by treatment group in animal health, liver abscess prevalence or severity. Organisms classified to phylum, Elusimicrobia were more abundant in the feces of treated cattle, however, there were no differences in the resistome by treatment group. Both microbiome and resistome varied significantly among enrollment blocks.		Scientific reports
PRJEB9403					910	WGS	ena_only									
PRJNA598414	feces metagenome			China: Tibet	24	WGS	ena_only									
PRJNA1036300	mouse			China:Changsha	18	WGS	ena_only									
PRJNA1093424	Mus musculus	10090.0		USA:MD	96	AMPLICON	pubmed	39371172.0	39371172							
PRJNA1404287	bioreactor metagenome			USA: San Diego, California	332	AMPLICON	ena_only									
PRJNA656314	Danio rerio	7955.0		China: Shanghai	15	WGS	ena_only									
PRJNA971196	Homo sapiens	9606.0		USA: Yakima Valley, WA	16	OTHER	pubmed	37215025.0	37215025	Differences in gut metagenomes between dairy workers and community controls: a cross-sectional study.	Trinh P	Willis AD		BACKGROUND: As a nexus of routine antibiotic use and zoonotic pathogen presence, the livestock farming environment is a potential hotspot for the emergence of zoonotic diseases and antibiotic resistant bacteria. Livestock can further facilitate disease transmission by serving as intermediary hosts for pathogens as they undergo evolution prior to a spillover event. In light of this, we are interested in characterizing the microbiome and resistome of dairy workers, whose exposure to the livestock farming environment places them at risk for facilitating community transmission of antibiotic resistant genes and emerging zoonotic diseases. RESULTS: Using shotgun sequencing, we investigated differences in the taxonomy, diversity and gene presence of the human gut microbiome of 10 dairy farm workers and 6 community controls, supplementing these samples with additional publicly available gut metagenomes. We observed greater abundance of tetracycline resistance genes and prevalence of cephamycin resistance genes in dairy workers' metagenomes, and lower average gene diversity. We also found evidence of commensal organism association with plasmid-mediated tetracycline resistance genes in both dairy workers and community controls (including Faecalibacterium prausnitzii, Ligilactobacillus animalis, and Simiaoa sunii). However, we did not find significant differences in the prevalence of resistance genes or virulence factors overall, nor differences in the taxonomic composition of dairy worker and community control metagenomes. CONCLUSIONS: This study presents the first metagenomics analysis of United States dairy workers, providing insights into potential risks of exposure to antibiotics and pathogens in animal farming environments. Previous metagenomic studies of livestock workers in China and Europe have reported increased abundance and carriage of antibiotic resistance genes in livestock workers. While our investigation found no strong evidence for differences in the abundance or carriage of antibiotic resistance genes and virulence factors between dairy worker and community control gut metagenomes, we did observe patterns in the abundance of tetracycline resistance genes and the prevalence of cephamycin resistance genes that is consistent with previous work.		bioRxiv : the preprint server for biology
PRJNA494387	Bos javanicus	9493.0		Italy	3	WGS	ena_only									
PRJEB58106				Spain	115	WGS	ena_only									
PRJNA917104	Canis lupus familiaris	9615.0		China:Jinhua	1	AMPLICON	pubmed	36992396.0	36992396							
PRJNA1164203	Macaca fascicularis	9541.0		United Kingdom: England	161	WGS	pubmed	40369669.0	40369669	Intestinal microbiota profiles of captive-bred cynomolgus macaques reveal influence of biogeography and age.	Purse C	Carding SR	Mammalia	BACKGROUND: Age-associated changes to the intestinal microbiome may be linked to inflammageing and the development of age-related chronic diseases. Cynomolgus macaques, a common animal model in biomedical research, have strong genetic physiological similarities to humans and may serve as beneficial models for the effect of age on the human microbiome. However, age-associated changes to their intestinal microbiome have previously only been investigated in faecal samples. Here, we have characterised and investigated the effects of age in the cynomolgus macaque intestinal tract in luminal samples from both the small and large intestine. RESULTS: Whole metagenomic shotgun sequencing was used to analyse the microbial communities in intestinal content obtained from six different intestinal regions, covering the duodenum to distal colon, of 24 healthy, captive-bred cynomolgus macaques, ranging in age from 4 to 20 years. Both reference-based and assembly-based computational profiling approaches were used to analyse changes to intestinal microbiota composition and metabolic potential associated with intestinal biogeography and age. Reference-based computational profiling revealed a significant and progressive increase in both species richness and evenness along the intestinal tract. The microbial community composition also significantly differed between the small intestine, caecum, and colon. Notably, no significant changes in the taxonomic abundance of individual taxa with age were found except when sex was included as a covariate. Additionally, using an assembly-based computational profiling approach, 156 putative novel bacterial and archaeal species were identified. CONCLUSIONS: We observed limited effects of age on the composition of the luminal microbiota in the profiled regions of the intestinal tract except when sex was included as a covariate. The enteric microbial communities of the small and the large intestine were, however, distinct, highlighting the limitations of frequently used faecal microbial profiling as a proxy for the intestinal microbiota. The identification of a number of putative novel microbial taxa contributes to knowledge of the full diversity of the cynomolgus macaque intestinal microbiome.		Animal microbiome
